loinc_code;loinc_display;loinc_component;loinc_property;loinc_system;loinc_scale;loinc_method;loinc_unitofmeasure;loinc_codesystem;loinc_timing
706-2;Basophils/100 leukocytes in Blood by Automated count;Basophils/100 leukocytes;NFr;Bld;Qn;Automated count;%;http://loinc.org;Pt
26450-7;Eosinophils/100 leukocytes in Blood;Eosinophils/100 leukocytes;NFr;Bld;Qn;;%;http://loinc.org;Pt
714-6;Eosinophils/100 leukocytes in Blood by Manual count;Eosinophils/100 leukocytes;NFr;Bld;Qn;Manual count;%;http://loinc.org;Pt
713-8;Eosinophils/100 leukocytes in Blood by Automated count;Eosinophils/100 leukocytes;NFr;Bld;Qn;Automated count;%;http://loinc.org;Pt
26511-6;Neutrophils/100 leukocytes in Blood;Neutrophils/100 leukocytes;NFr;Bld;Qn;;%;http://loinc.org;Pt
23761-0;Neutrophils/100 leukocytes in Blood by Manual count;Neutrophils/100 leukocytes;NFr;Bld;Qn;Manual count;%;http://loinc.org;Pt
770-8;Neutrophils/100 leukocytes in Blood by Automated count;Neutrophils/100 leukocytes;NFr;Bld;Qn;Automated count;%;http://loinc.org;Pt
26505-8;Segmented neutrophils/100 leukocytes in Blood;Neutrophils.segmented/100 leukocytes;NFr;Bld;Qn;;%;http://loinc.org;Pt
769-0;Segmented neutrophils/100 leukocytes in Blood by Manual count;Neutrophils.segmented/100 leukocytes;NFr;Bld;Qn;Manual count;%;http://loinc.org;Pt
32200-8;Segmented neutrophils/100 leukocytes in Blood by Automated count;Neutrophils.segmented/100 leukocytes;NFr;Bld;Qn;Automated count;%;http://loinc.org;Pt
26508-2;Band form neutrophils/100 leukocytes in Blood;Neutrophils.band form/100 leukocytes;NFr;Bld;Qn;;%;http://loinc.org;Pt
764-1;Band form neutrophils/100 leukocytes in Blood by Manual count;Neutrophils.band form/100 leukocytes;NFr;Bld;Qn;Manual count;%;http://loinc.org;Pt
35332-6;Band form neutrophils/100 leukocytes in Blood by Automated count;Neutrophils.band form/100 leukocytes;NFr;Bld;Qn;Automated count;%;http://loinc.org;Pt
26478-8;Lymphocytes/100 leukocytes in Blood;Lymphocytes/100 leukocytes;NFr;Bld;Qn;;%;http://loinc.org;Pt
737-7;Lymphocytes/100 leukocytes in Blood by Manual count;Lymphocytes/100 leukocytes;NFr;Bld;Qn;Manual count;%;http://loinc.org;Pt
736-9;Lymphocytes/100 leukocytes in Blood by Automated count;Lymphocytes/100 leukocytes;NFr;Bld;Qn;Automated count;%;http://loinc.org;Pt
26485-3;Monocytes/100 leukocytes in Blood;Monocytes/100 leukocytes;NFr;Bld;Qn;;%;http://loinc.org;Pt
744-3;Monocytes/100 leukocytes in Blood by Manual count;Monocytes/100 leukocytes;NFr;Bld;Qn;Manual count;%;http://loinc.org;Pt
5905-5;Monocytes/100 leukocytes in Blood by Automated count;Monocytes/100 leukocytes;NFr;Bld;Qn;Automated count;%;http://loinc.org;Pt
26463-0;Large unstained cells/100 leukocytes in Blood;Large unstained cells/100 leukocytes;NFr;Bld;Qn;;%;http://loinc.org;Pt
26462-2;Large unstained cells [#/volume] in Blood;Large unstained cells;NCnc;Bld;Qn;;10*3/uL;http://loinc.org;Pt
30413-9;Abnormal lymphocytes/100 leukocytes in Blood;Lymphocytes.abnormal/100 leukocytes;NFr;Bld;Qn;;%;http://loinc.org;Pt
57022-6;CBC W Reflex Manual Differential panel - Blood;Complete blood count W Reflex Manual Differential panel;-;Bld;Qn;;;http://loinc.org;Pt
34994-4;Smear morphology panel - Blood;Smear morphology panel;-;Bld;-;;;http://loinc.org;Pt
714-6;Eosinophils/100 leukocytes in Blood by Manual count;Eosinophils/100 leukocytes;NFr;Bld;Qn;Manual count;%;http://loinc.org;Pt
707-0;Basophils/100 leukocytes in Blood by Manual count;Basophils/100 leukocytes;NFr;Bld;Qn;Manual count;%;http://loinc.org;Pt
764-1;Band form neutrophils/100 leukocytes in Blood by Manual count;Neutrophils.band form/100 leukocytes;NFr;Bld;Qn;Manual count;%;http://loinc.org;Pt
769-0;Segmented neutrophils/100 leukocytes in Blood by Manual count;Neutrophils.segmented/100 leukocytes;NFr;Bld;Qn;Manual count;%;http://loinc.org;Pt
737-7;Lymphocytes/100 leukocytes in Blood by Manual count;Lymphocytes/100 leukocytes;NFr;Bld;Qn;Manual count;%;http://loinc.org;Pt
744-3;Monocytes/100 leukocytes in Blood by Manual count;Monocytes/100 leukocytes;NFr;Bld;Qn;Manual count;%;http://loinc.org;Pt
34921-7;Lymphocytes Plasmacytoid/100 leukocytes in Blood;Lymphocytes.plasmacytoid/100 leukocytes;NFr;Bld;Qn;;%;http://loinc.org;Pt
33835-0;Lymphocytes Plasmacytoid/100 leukocytes in Blood by Manual count;Lymphocytes.plasmacytoid/100 leukocytes;NFr;Bld;Qn;Manual count;%;http://loinc.org;Pt
11125-2;Platelet morphology finding [Identifier] in Blood;Platelet morphology finding;Prid;Bld;Nom;;;http://loinc.org;Pt
